Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,,Slice,Count,,,,,,,,
180903_Image011_ch00.tif,311,12.931,0.042,18.522,254.652,10.589,,180903_Image011_ch00.tif,311,254,251,232,274,226,230,217,190
180903_Image011_ch01.tif,140,7.938,0.057,11.371,253.902,14.416,,180903_Image011_ch01.tif,140,107,116,79,68,75,72,74,72
180903_Image017_ch00.tif,254,11.377,0.045,16.296,254.891,11.416,,,45.01607717,42.12598425,46.21513944,34.05172414,24.81751825,33.18584071,31.30434783,34.10138249,37.89473684
180903_Image017_ch01.tif,107,7.427,0.069,10.637,253.975,17.663,,,,,,,,,,,
180903_Image021_ch00.tif,251,12.372,0.049,17.721,254.941,12.565,,,,shControl,shPKMYT1-1,shPKMYT1-2,,,,,
180903_Image021_ch01.tif,116,7.09,0.061,10.155,254.153,15.556,,,,44.45240029,30.6850277,34.43348905,,,,,
180903_Image043_ch00.tif,232,10.682,0.046,15.301,254.07,11.693,,,,,0.012418155,0.011441234,,,,,
180903_Image043_ch01.tif,79,4.735,0.06,6.782,254.315,15.258,,,,,,,,,,,
180903_Image045_ch00.tif,274,11.041,0.04,15.814,254.662,10.255,,,,,,,,,,,
180903_Image045_ch01.tif,68,3.33,0.049,4.77,253.929,12.452,,,,,,,,,,,
180903_Image047_ch00.tif,226,11.879,0.053,17.015,254.392,13.344,,,,,,,,,,,
180903_Image047_ch01.tif,75,4.963,0.066,7.108,254.479,16.845,,,,,,,,,,,
180903_Image049_ch00.tif,230,10.931,0.048,15.657,254.704,12.1,,,,,,,,,,,
180903_Image049_ch01.tif,72,4.627,0.064,6.627,253.258,16.328,,,,,,,,,,,
180903_Image051_ch00.tif,217,11.42,0.053,16.358,254.61,13.388,,,,,,,,,,,
180903_Image051_ch01.tif,74,5.229,0.071,7.49,254.208,17.973,,,,,,,,,,,
180903_Image091_ch00.tif,190,8.582,0.045,12.292,254.911,11.511,,,,,,,,,,,
180903_Image091_ch01.tif,72,2.547,0.035,3.649,255,9.022,,,,,,,,,,,
