Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,,,,,,,,,,,,,,,,
Con-1.jpg,62,6903,111.339,16.116,254.755,28119.919,,,,,,,,,,,,,,,,
Con-2.jpg,54,9011,166.87,21.871,254.831,42485.833,,,,,,,,,,,,,,,,
Con-3.jpg,61,7884,129.246,19.041,254.827,32865.738,,,,,,,,,,,,,,,,
Con-4.jpg,56,8477,151.375,20.676,254.707,38395.714,,,,,,,,,,,,,,,,
shPTMYT1_1-1.jpg,43,2987,69.465,7.394,254.957,17678.023,,,,,,,,,,,,,,,,
shPTMYT1_1-2.jpg,37,2190,59.189,5.238,255,15093.243,,,,,,,,,,,,,,,,
shPTMYT1_1-3.jpg,42,2678,63.762,6.663,255,16259.286,,,,,,,,,,,,,,,,
shPTMYT1_1-4.jpg,38,2474,65.105,5.947,255,16601.842,,,,,Con-1.jpg,Con-2.jpg,Con-3.jpg,Con-4.jpg,shPTMYT1_1-1.jpg,shPTMYT1_1-2.jpg,shPTMYT1_1-3.jpg,shPTMYT1_1-4.jpg,shPTMYT1_2-1.jpg,shPTMYT1_2-2.jpg,shPTMYT1_2-3.jpg,shPTMYT1_2-4.jpg
shPTMYT1_2-1.jpg,40,1697,42.425,4.222,255,10818.375,,,,,62,54,61,56,43,37,42,38,40,41,34,37
shPTMYT1_2-2.jpg,41,2371,57.829,5.698,255,14746.463,,,,,12.4,10.8,12.2,11.2,8.6,7.4,8.4,7.6,8,8.2,6.8,7.4
shPTMYT1_2-3.jpg,34,2005,58.971,4.865,255,15037.5,,,,,,,,,,,,,,,,
shPTMYT1_2-4.jpg,37,2750,74.324,6.545,254.957,18945.811,,,,,shControl,shPKMYT1-1,shPKMYT1-2,,,,,,,,,
,,,,,,,,,,,11.65,8,7.6,,,,,,,,,
,,,,,,,,,,,,0.000287171,0.000188145,,,,,,,,,
